Time (sec),RPM,RPM Rate (RPM/sec),Air Temp (F),Coolant Temp (F),TPS (%),TPS Rate (%/sec),MAP (psi),Battery Volt (V),Fuel Open Time (ms),Fuel Duty Cycle (%),Fuel Angle (deg),Accel Compensation - Fuel (%),Starting Compensation - Fuel (%),Air Temp Compensation - Fuel (%),Coolant Temp Compensation - Fuel (%),U1: Ã¿Ã¿Ã¿Ã¿Ã¿Ã¿Ã¿Ã¿ Compensation - Fuel (%),Ignition Angle (DBTDC),Coolant Temp Compensation - Ignition (deg),   Oil P,  Fuel P,  Comp P,Oil T (F),Res T (F),   EMPTY,  Comp S,Measured AFR #1,Target AFR,Lambda/AFR STF #1 (%),PWM Duty Cycle % #1,PWM Duty Cycle % #2,PWM Duty Cycle % #3,PWM Duty Cycle % #4,Accel Base Comp (%),
17.440,2685,-8011,95.2,122.2,5.0,6,10.94,13.80,1.64,7.3,26.2,100.0,100.0,100.0,100.0,100.0,20.3,0.0,0.89,42.27,14.62,118.6,124.0,0.00,48696.0,12.42,14.55,100.0,0.0,0.0,21.0,26.5,100.0,
17.450,2685,-8011,95.2,122.2,4.7,-25,11.09,13.70,1.64,7.3,26.2,100.0,100.0,100.0,100.0,100.0,20.3,0.0,0.87,43.38,14.56,118.6,124.0,0.00,49176.0,12.45,14.55,100.0,0.0,0.0,21.0,26.5,100.0,
17.461,2586,-4268,95.2,122.2,4.8,11,11.31,13.50,1.59,6.9,25.2,100.0,100.0,100.0,100.0,100.0,20.3,0.0,0.72,42.92,14.57,118.6,124.0,0.00,48384.0,12.45,14.55,100.0,0.0,0.0,21.0,25.5,100.0,
17.470,2586,-4268,95.2,122.2,5.0,14,10.93,13.50,1.59,6.9,25.2,100.0,100.0,100.0,100.0,100.0,20.3,0.0,0.93,42.17,14.63,118.6,124.0,0.00,48072.0,12.41,14.55,100.0,0.0,0.0,21.0,25.5,100.0,
17.480,2586,-4268,95.2,122.2,4.8,-19,10.96,13.50,1.59,6.9,25.2,100.0,100.0,100.0,100.0,100.0,20.3,0.0,0.84,42.97,14.56,118.6,124.0,0.00,47464.0,12.50,14.55,100.0,0.0,0.0,21.0,25.5,100.0,
17.490,2598,519,95.2,122.2,4.8,0,11.10,13.90,1.63,7.1,24.4,100.0,100.0,100.0,100.0,100.0,20.2,0.0,0.93,42.72,14.57,118.6,124.0,0.00,50000.0,12.48,14.55,100.0,0.0,0.0,21.0,25.5,100.0,
17.500,2598,519,95.2,122.2,5.0,19,11.47,14.00,1.63,7.1,24.4,100.0,100.0,100.0,100.0,100.0,20.2,0.0,1.00,42.77,14.68,118.6,124.0,0.00,49832.0,12.42,14.55,100.0,0.0,0.0,21.0,25.5,100.0,
17.510,2919,10000,95.2,122.2,4.9,-11,11.20,13.60,1.51,7.3,25.6,100.0,100.0,100.0,100.0,100.0,21.5,0.0,0.78,42.88,14.60,118.6,124.0,0.00,49176.0,12.47,14.41,100.0,0.0,0.0,20.5,29.0,100.0,
17.520,2919,10000,95.2,122.2,4.7,-14,10.93,13.50,1.51,7.3,25.6,100.0,100.0,100.0,100.0,100.0,21.5,0.0,0.77,41.67,14.53,118.6,124.0,0.00,48696.0,12.50,14.41,100.0,0.0,0.0,20.5,29.0,100.0,
17.530,2730,-8602,95.2,122.2,4.9,22,11.04,13.50,1.63,7.4,25.2,100.0,100.0,100.0,100.0,100.0,20.6,0.0,0.82,42.20,14.60,118.6,124.0,0.00,47920.0,12.47,14.55,100.0,0.0,0.0,20.5,27.0,100.0,
17.545,2730,-8602,95.2,122.2,4.9,0,11.25,13.50,1.63,7.4,25.2,100.0,100.0,100.0,100.0,100.0,20.6,0.0,1.01,42.70,14.59,118.6,124.0,0.00,48224.0,12.45,14.55,100.0,0.0,0.0,20.5,27.0,100.0,
17.550,2618,-4887,95.2,122.2,4.7,-22,11.34,13.50,1.61,7.0,24.5,100.0,100.0,100.0,100.0,100.0,20.6,0.0,0.73,42.75,14.52,118.6,124.0,0.00,47768.0,12.51,14.55,100.0,0.0,0.0,21.0,26.0,100.0,
17.560,2618,-4887,95.2,122.2,4.9,17,10.99,13.50,1.61,7.0,24.5,100.0,100.0,100.0,100.0,100.0,20.6,0.0,0.89,42.67,14.57,118.6,124.0,0.00,47168.0,12.45,14.55,100.0,0.0,0.0,21.0,26.0,100.0,
17.570,2628,-4887,95.2,122.2,5.0,8,11.07,13.50,1.61,7.0,24.5,100.0,100.0,100.0,100.0,100.0,20.6,0.0,1.01,43.77,14.59,118.6,124.0,0.00,47464.0,12.45,14.55,100.0,0.0,0.0,21.0,26.0,100.0,
17.580,2628,438,95.2,122.2,4.7,-25,11.18,14.30,1.62,7.1,24.0,100.0,100.0,100.0,100.0,100.0,20.4,0.0,1.00,41.84,14.55,118.6,124.0,0.00,50000.0,12.48,14.55,100.0,0.0,0.0,21.0,26.0,100.0,
17.590,2628,438,95.2,122.2,4.8,9,11.51,14.80,1.62,7.1,24.0,100.0,100.0,100.0,100.0,100.0,20.4,0.0,0.88,44.00,14.64,118.6,124.0,0.00,49336.0,12.45,14.55,100.0,0.0,0.0,21.0,26.0,100.0,
17.600,2952,10000,95.2,122.2,5.0,16,11.19,13.90,1.40,6.9,25.5,100.0,100.0,100.0,100.0,100.0,21.6,0.0,0.90,42.50,14.65,118.6,124.0,0.00,48856.0,12.38,14.38,100.0,0.0,0.0,20.0,29.5,100.0,
17.610,2952,10000,95.2,122.2,4.8,-19,11.04,13.60,1.40,6.9,25.5,100.0,100.0,100.0,100.0,100.0,21.6,0.0,0.89,43.20,14.55,118.6,124.0,0.00,48224.0,12.47,14.38,100.0,0.0,0.0,20.0,29.5,100.0,
17.621,2760,-8832,95.2,122.2,4.7,-6,11.06,13.50,1.61,7.4,25.3,100.0,100.0,100.0,100.0,100.0,20.8,0.0,0.77,42.17,14.51,118.6,124.0,0.00,47920.0,12.48,14.55,100.0,0.0,0.0,20.5,27.5,100.0,
17.630,2760,-8832,95.2,122.2,5.0,28,11.39,13.50,1.61,7.4,25.3,100.0,100.0,100.0,100.0,100.0,20.8,0.0,0.96,42.20,14.61,118.6,124.0,0.00,47920.0,12.41,14.55,100.0,0.0,0.0,20.5,27.5,100.0,
17.640,2643,-5155,95.2,122.2,4.9,-14,11.26,13.50,1.61,7.1,24.6,100.0,100.0,100.0,100.0,100.0,20.8,0.0,0.74,42.72,14.57,118.6,124.0,0.00,47464.0,12.45,14.48,100.0,0.0,0.0,21.0,26.0,100.0,
17.650,2643,-5155,95.2,122.2,4.7,-11,10.96,13.50,1.61,7.1,24.6,100.0,100.0,100.0,100.0,100.0,20.8,0.0,0.80,43.52,14.48,118.6,124.0,0.00,46728.0,12.44,14.48,100.0,0.0,0.0,21.0,26.0,100.0,
17.660,2640,-132,95.2,122.2,4.9,16,11.07,13.50,1.63,7.2,24.0,100.0,100.0,100.0,100.0,100.0,20.3,0.0,0.86,42.22,14.54,118.6,124.0,0.00,48224.0,12.41,14.55,100.0,0.0,0.0,21.0,26.0,100.0,
17.670,2640,-132,95.2,122.2,4.9,3,11.26,14.70,1.63,7.2,24.0,100.0,100.0,100.0,100.0,100.0,20.3,0.0,1.08,43.20,14.65,118.6,124.0,0.00,50000.0,12.38,14.55,100.0,0.0,0.0,21.0,26.0,100.0,
17.684,2933,10000,95.2,122.2,4.7,-22,11.49,14.40,1.40,6.8,25.4,100.0,100.0,100.0,100.0,100.0,21.4,0.0,0.77,43.32,14.56,118.6,124.0,0.00,49176.0,12.42,14.55,100.0,0.0,0.0,20.0,29.0,100.0,
17.690,2933,10000,95.2,122.2,4.9,14,11.08,13.80,1.40,6.8,25.4,100.0,100.0,100.0,100.0,100.0,21.4,0.0,0.77,42.07,14.63,118.6,124.0,0.00,48696.0,12.35,14.55,100.0,0.0,0.0,20.0,29.0,100.0,
17.700,2743,10000,95.2,122.2,5.0,11,11.06,13.50,1.40,6.8,25.4,100.0,100.0,100.0,100.0,100.0,21.4,0.0,0.93,43.34,14.61,118.6,124.0,0.00,48072.0,12.38,14.55,100.0,0.0,0.0,20.0,29.0,100.0,
17.710,2743,-8689,95.2,122.2,4.7,-22,11.13,13.50,1.62,7.4,25.2,100.0,100.0,100.0,100.0,100.0,20.8,0.0,0.79,41.50,14.50,118.6,124.0,0.00,48384.0,12.42,14.55,100.0,0.0,0.0,20.5,27.0,100.0,
17.720,2743,-8689,95.2,122.2,4.8,3,11.39,13.50,1.62,7.4,25.2,100.0,100.0,100.0,100.0,100.0,20.8,0.0,0.80,43.25,14.57,118.6,124.0,0.00,47920.0,12.41,14.55,100.0,0.0,0.0,20.5,27.0,100.0,
17.730,2630,-4954,95.2,122.2,5.0,19,11.16,13.50,1.61,7.1,24.5,100.0,100.0,100.0,100.0,100.0,20.8,0.0,0.80,43.05,14.57,118.6,124.0,0.00,47312.0,12.35,14.48,100.0,0.0,0.0,21.0,26.0,100.0,
17.740,2630,-4954,95.2,122.2,4.8,-14,11.04,13.40,1.61,7.1,24.5,100.0,100.0,100.0,100.0,100.0,20.8,0.0,0.94,42.02,14.51,118.6,124.0,0.00,46728.0,12.38,14.48,100.0,0.0,0.0,21.0,26.0,100.0,
17.750,2612,-783,95.2,122.2,4.7,-11,11.10,13.50,1.64,7.1,23.9,100.0,100.0,100.0,100.0,100.0,20.3,0.0,0.80,42.52,14.49,118.6,124.0,0.00,48856.0,12.41,14.55,100.0,0.0,0.0,21.0,26.0,100.0,
17.760,2612,-783,95.2,122.2,4.9,22,11.32,14.40,1.64,7.1,23.9,100.0,100.0,100.0,100.0,100.0,20.3,0.0,1.09,44.15,14.66,118.6,124.0,0.00,50000.0,12.32,14.55,100.0,0.0,0.0,21.0,26.0,100.0,
17.770,2859,10000,95.2,122.2,4.9,0,11.49,13.80,1.45,6.9,24.8,100.0,100.0,100.0,100.0,100.0,21.3,0.0,0.85,42.82,14.60,118.6,124.0,0.00,49336.0,12.33,14.52,100.0,0.0,0.0,20.5,28.5,100.0,
17.780,2859,10000,95.2,122.2,4.7,-22,11.06,13.60,1.45,6.9,24.8,100.0,100.0,100.0,100.0,100.0,21.3,0.0,0.85,42.95,14.59,118.6,124.0,0.00,48856.0,12.35,14.52,100.0,0.0,0.0,20.5,28.5,100.0,
17.791,2698,-7240,95.2,122.2,4.9,17,11.09,13.50,1.61,7.2,24.4,100.0,100.0,100.0,100.0,100.0,20.7,0.0,0.85,42.30,14.63,118.6,124.0,0.00,48072.0,12.35,14.55,100.0,0.0,0.0,21.0,26.5,100.0,
17.800,2698,-7240,95.2,122.2,5.0,8,11.25,13.50,1.61,7.2,24.4,100.0,100.0,100.0,100.0,100.0,20.7,0.0,1.03,42.84,14.59,118.6,124.0,0.00,49504.0,12.30,14.55,100.0,0.0,0.0,21.0,26.5,100.0,
17.810,2698,-7240,95.2,122.2,4.7,-22,11.55,13.50,1.61,7.2,24.4,100.0,100.0,100.0,100.0,100.0,20.7,0.0,0.88,43.63,14.59,118.6,124.0,0.00,48856.0,12.38,14.55,100.0,0.0,0.0,21.0,26.5,100.0,
17.820,2620,-3407,95.2,122.2,4.8,6,11.19,13.50,1.62,7.1,23.9,100.0,100.0,100.0,100.0,100.0,20.9,0.0,0.76,43.07,14.57,118.6,124.0,0.00,48224.0,12.35,14.35,100.0,0.0,0.0,21.0,26.0,100.0,
17.830,2620,-3407,95.2,122.2,5.0,16,11.16,13.50,1.62,7.1,23.9,100.0,100.0,100.0,100.0,100.0,20.9,0.0,1.02,42.09,14.59,118.6,124.0,0.00,47616.0,12.30,14.35,100.0,0.0,0.0,21.0,26.0,100.0,
17.844,2661,1818,95.2,122.2,4.9,-11,11.25,13.60,1.61,7.1,23.6,100.0,100.0,100.0,100.0,100.0,20.7,0.0,0.96,43.00,14.55,118.6,124.0,0.00,49504.0,12.35,14.55,100.0,0.0,0.0,21.0,26.5,100.0,
17.850,2661,1818,95.2,122.2,4.8,-5,11.46,13.70,1.61,7.1,23.6,100.0,100.0,100.0,100.0,100.0,20.7,0.0,0.92,42.59,14.57,118.6,124.0,0.00,49336.0,12.33,14.55,100.0,0.0,0.0,21.0,26.5,100.0,
17.860,3038,10000,95.2,122.2,5.0,16,11.39,13.50,1.57,7.9,25.8,100.0,100.0,100.0,100.0,100.0,21.7,0.0,0.77,42.88,14.65,118.6,124.0,0.00,48536.0,12.30,14.42,100.0,0.0,0.0,20.0,30.0,100.0,
17.870,3038,10000,95.2,122.2,4.9,-8,11.03,13.50,1.57,7.9,25.8,100.0,100.0,100.0,100.0,100.0,21.7,0.0,0.92,41.90,14.59,118.6,124.0,0.00,48072.0,12.32,14.42,100.0,0.0,0.0,20.0,30.0,100.0,
17.880,2891,-7084,95.2,122.2,4.7,-17,11.01,13.50,1.63,7.9,26.5,100.0,100.0,100.0,100.0,100.0,21.0,0.0,0.67,41.95,14.52,118.6,124.0,0.00,47768.0,12.38,14.55,100.0,0.0,0.0,20.5,28.5,100.0,
17.890,2891,-7084,95.2,122.2,4.9,22,11.21,13.50,1.63,7.9,26.5,100.0,100.0,100.0,100.0,100.0,21.0,0.0,0.89,43.55,14.60,118.6,124.0,0.00,48696.0,12.32,14.55,100.0,0.0,0.0,20.5,28.5,100.0,
17.900,2843,-2274,95.2,122.2,4.9,0,11.32,13.50,1.62,7.7,26.7,100.0,100.0,100.0,100.0,100.0,21.2,0.0,0.74,42.84,14.57,118.6,124.0,0.00,48072.0,12.33,14.55,100.0,0.0,0.0,20.5,28.0,100.0,
17.910,2843,-2274,95.2,122.2,4.7,-22,10.91,13.50,1.62,7.7,26.7,100.0,100.0,100.0,100.0,100.0,21.2,0.0,0.81,42.07,14.52,118.6,124.0,0.00,47464.0,12.35,14.55,100.0,0.0,0.0,20.5,28.0,100.0,
17.920,2892,2361,95.2,122.2,4.9,19,10.97,13.50,1.64,7.9,27.2,100.0,100.0,100.0,100.0,100.0,20.9,0.0,0.80,41.75,14.57,118.6,124.0,0.00,48696.0,12.35,14.55,100.0,0.0,0.0,20.5,28.5,100.0,
17.930,2892,2361,93.4,122.2,5.0,9,11.19,15.20,1.64,7.9,27.2,100.0,100.0,100.0,100.0,100.0,20.9,0.0,1.10,44.09,14.68,118.6,124.0,0.00,49832.0,12.32,14.55,100.0,0.0,0.0,20.5,28.5,100.0,
17.940,3267,10000,95.2,122.2,4.8,-22,11.20,14.60,1.40,7.6,29.8,100.0,100.0,100.0,100.0,100.0,22.1,0.0,0.76,43.15,14.53,118.6,124.0,0.00,49176.0,12.38,14.48,100.0,0.0,0.0,20.0,30.0,100.0,
17.950,3267,10000,95.2,122.2,4.8,5,10.83,13.80,1.40,7.6,29.8,100.0,100.0,100.0,100.0,100.0,22.1,0.0,0.86,41.42,14.59,118.6,124.0,0.00,48536.0,12.35,14.48,100.0,0.0,0.0,20.0,30.0,100.0,
17.960,3166,-5330,93.4,122.2,5.0,17,10.84,13.70,1.61,8.5,31.4,100.0,100.0,100.0,100.0,100.0,21.4,0.0,0.88,42.15,14.66,118.6,124.0,0.00,49176.0,12.36,14.55,100.0,0.0,0.0,20.0,30.0,100.0,
17.970,3166,-5330,95.2,122.2,4.8,-19,11.06,14.20,1.61,8.5,31.4,100.0,100.0,100.0,100.0,100.0,21.4,0.0,1.01,42.42,14.66,118.6,124.0,0.00,49664.0,12.39,14.55,100.0,0.0,0.0,20.0,30.0,100.0,
17.980,3195,1544,95.2,122.2,4.7,-9,10.86,13.80,1.51,8.0,32.8,100.0,100.0,100.0,100.0,100.0,21.8,0.0,0.66,42.32,14.56,118.6,124.0,0.00,49016.0,12.39,14.52,100.0,0.0,0.0,20.0,30.0,100.0,
17.990,3195,1544,95.2,122.2,5.0,25,10.65,13.60,1.51,8.0,32.8,100.0,100.0,100.0,100.0,100.0,21.8,0.0,0.91,42.47,14.60,118.6,124.0,0.00,48384.0,12.33,14.52,100.0,0.0,0.0,20.0,30.0,100.0,
18.000,3138,-2981,95.2,122.2,4.9,-3,10.71,13.60,1.67,8.7,33.6,100.0,100.0,100.0,100.0,100.0,21.1,0.0,0.89,41.75,14.62,118.6,124.0,0.00,50840.0,12.35,14.55,100.0,0.0,0.0,20.0,30.0,100.0,
18.010,3265,-2981,95.2,122.2,4.7,-22,10.90,13.70,1.67,8.7,33.6,100.0,100.0,100.0,100.0,100.0,21.1,0.0,0.81,43.07,14.66,118.6,124.0,0.00,50504.0,12.39,14.55,100.0,0.0,0.0,20.0,30.0,100.0,
18.020,3265,6912,95.2,122.2,4.9,17,10.63,13.60,1.60,8.7,34.8,100.0,100.0,100.0,100.0,100.0,21.8,0.0,0.78,41.55,14.66,118.6,124.0,0.00,49832.0,12.29,14.48,100.0,0.0,0.0,20.0,30.0,100.0,
18.032,3197,-3623,93.4,122.2,5.0,8,10.53,13.50,1.67,8.9,35.5,100.0,100.0,100.0,100.0,100.0,21.2,0.0,0.91,42.84,14.61,118.6,124.0,0.00,50328.0,12.30,14.52,100.0,0.0,0.0,20.0,30.0,100.0,
18.040,3197,-3623,95.2,122.2,4.7,-25,10.56,14.30,1.67,8.9,35.5,100.0,100.0,100.0,100.0,100.0,21.2,0.0,0.89,40.92,14.59,118.6,124.0,0.00,51368.0,12.30,14.52,100.0,0.0,0.0,20.0,30.0,100.0,
18.050,3288,4986,95.2,122.2,4.8,9,10.76,14.50,1.53,8.4,36.3,100.0,100.0,100.0,100.0,100.0,21.5,0.0,0.72,42.70,14.65,118.6,124.0,0.00,50840.0,12.25,14.46,100.0,0.0,0.0,20.0,30.0,100.0,
18.060,3288,4986,93.4,122.2,5.0,16,10.45,13.80,1.53,8.4,36.3,100.0,100.0,100.0,100.0,100.0,21.5,0.0,0.87,42.77,14.71,118.6,124.0,0.00,50160.0,12.13,14.46,100.0,0.0,0.0,20.0,30.0,100.0,
18.070,3217,-3807,95.2,122.2,4.8,-19,10.39,13.60,1.65,8.8,36.7,100.0,100.0,100.0,100.0,100.0,21.2,0.0,0.80,41.20,14.62,118.6,124.0,0.00,50840.0,12.19,14.52,100.0,0.0,0.0,20.0,30.0,100.0,
18.080,3217,-3807,95.2,122.2,4.8,0,10.52,15.00,1.65,8.8,36.7,100.0,100.0,100.0,100.0,100.0,21.2,0.0,0.89,42.13,14.67,118.6,124.0,0.00,51544.0,12.14,14.52,100.0,0.0,0.0,20.0,30.0,100.0,
18.090,3291,4059,93.4,122.2,5.0,22,10.59,14.30,1.40,7.7,37.3,100.0,100.0,100.0,100.0,100.0,21.4,0.0,0.78,43.00,14.68,118.6,124.0,0.00,50840.0,12.05,14.46,100.0,0.0,0.0,20.0,30.0,100.0,
18.100,3291,4059,95.2,122.2,4.9,-14,10.30,13.70,1.40,7.7,37.3,100.0,100.0,100.0,100.0,100.0,21.4,0.0,0.89,41.02,14.63,118.6,124.0,0.00,50160.0,12.01,14.46,100.0,0.0,0.0,20.0,30.0,100.0,
18.112,3187,-5525,95.2,122.2,4.8,-8,10.29,13.60,1.70,9.0,37.3,100.0,100.0,100.0,100.0,100.0,21.1,0.0,0.79,41.72,14.63,118.6,124.0,0.00,51896.0,12.02,14.54,100.0,0.0,0.0,20.0,30.0,100.0,
18.122,3187,-5525,93.4,122.2,5.0,19,10.60,13.50,1.70,9.0,37.3,100.0,100.0,100.0,100.0,100.0,21.1,0.0,0.96,41.65,14.76,118.6,124.0,0.00,51544.0,11.92,14.54,100.0,0.0,0.0,20.0,30.0,100.0,
18.130,3191,212,93.4,122.2,4.9,-6,10.45,13.50,1.68,8.9,37.3,100.0,100.0,100.0,100.0,100.0,21.2,0.0,0.83,41.27,14.68,118.6,124.0,0.00,50840.0,11.85,14.54,100.0,0.0,0.0,20.0,30.0,100.0,
18.140,3191,212,95.2,122.2,4.8,-13,10.22,13.50,1.68,8.9,37.3,100.0,100.0,100.0,100.0,100.0,21.2,0.0,0.82,42.80,14.59,118.6,124.0,0.00,50328.0,11.88,14.54,100.0,0.0,0.0,20.0,30.0,100.0,
18.150,3121,-3641,95.2,122.2,4.9,11,10.33,14.00,1.74,9.1,37.0,100.0,100.0,100.0,100.0,100.0,20.9,0.0,0.87,41.02,14.66,118.6,124.0,0.00,52080.0,11.77,14.55,100.0,0.0,0.0,20.0,30.0,100.0,
18.160,3204,-3641,93.4,122.2,5.0,8,10.62,14.60,1.74,9.1,37.0,100.0,100.0,100.0,100.0,100.0,20.9,0.0,0.95,43.20,14.76,118.6,124.0,0.00,51544.0,11.73,14.55,100.0,0.0,0.0,20.0,30.0,100.0,
18.170,3204,4432,95.2,122.2,4.8,-19,10.25,13.80,1.44,7.7,37.2,100.0,100.0,100.0,100.0,100.0,21.3,0.0,0.77,41.15,14.64,118.6,124.0,0.00,50672.0,11.70,14.52,100.0,0.0,0.0,20.0,30.0,100.0,
18.180,3084,4432,95.2,122.2,4.8,5,10.16,13.70,1.44,7.7,37.2,100.0,100.0,100.0,100.0,100.0,21.3,0.0,0.74,42.65,14.60,118.6,124.0,0.00,50328.0,11.67,14.52,100.0,0.0,0.0,20.0,30.0,100.0,
18.190,3084,-6168,93.4,122.2,5.0,14,10.30,13.50,1.72,8.8,36.7,100.0,100.0,100.0,100.0,100.0,20.8,0.0,0.93,41.09,14.67,118.6,124.0,0.00,51896.0,11.60,14.55,100.0,0.0,0.0,20.0,30.0,100.0,
18.202,3063,-1072,95.2,122.2,4.8,-19,10.52,13.50,1.73,8.8,36.2,100.0,100.0,100.0,100.0,100.0,20.8,0.0,0.72,42.17,14.66,118.6,124.0,0.00,51016.0,11.63,14.55,100.0,0.0,0.0,20.0,30.0,100.0,
18.210,3063,-1072,95.2,122.2,4.7,-6,10.18,13.50,1.73,8.8,36.2,100.0,100.0,100.0,100.0,100.0,20.8,0.0,0.70,41.25,14.64,118.6,124.0,0.00,50328.0,11.55,14.55,100.0,0.0,0.0,20.0,30.0,100.0,
18.220,2936,-1072,93.4,122.2,5.0,25,10.23,13.50,1.73,8.8,36.2,100.0,100.0,100.0,100.0,100.0,20.8,0.0,0.80,42.13,14.68,118.6,124.0,0.00,50160.0,11.48,14.55,100.0,0.0,0.0,20.0,29.0,100.0,
18.230,2936,-6216,93.4,122.2,4.9,-8,10.36,13.50,1.73,8.5,34.9,100.0,100.0,100.0,100.0,100.0,20.5,0.0,0.93,40.95,14.65,118.6,124.0,0.00,51896.0,11.47,14.55,100.0,0.0,0.0,20.0,29.0,100.0,
18.240,2902,-6216,95.2,122.2,4.7,-17,10.66,13.50,1.73,8.5,34.9,100.0,100.0,100.0,100.0,100.0,20.5,0.0,0.68,42.84,14.67,118.6,124.0,0.00,51192.0,11.48,14.55,100.0,0.0,0.0,20.0,29.0,100.0,
18.250,2902,-1644,93.4,122.2,4.9,19,10.35,13.50,1.67,8.1,33.7,100.0,100.0,100.0,100.0,100.0,20.6,0.0,0.78,41.45,14.68,118.6,124.0,0.00,50504.0,11.36,14.55,100.0,0.0,0.0,20.5,29.0,100.0,
18.260,2902,-1644,93.4,122.2,5.0,6,10.36,13.50,1.67,8.1,33.7,100.0,100.0,100.0,100.0,100.0,20.6,0.0,0.86,42.88,14.67,118.6,124.0,0.00,49832.0,11.35,14.55,100.0,0.0,0.0,20.5,29.0,100.0,
18.270,2721,-8210,95.2,122.2,4.7,-25,10.43,13.50,1.70,7.7,31.4,100.0,100.0,100.0,100.0,100.0,20.0,0.0,0.77,41.55,14.57,118.6,124.0,0.00,49176.0,11.36,14.55,100.0,0.0,0.0,20.5,27.0,100.0,
18.280,2721,-8210,95.2,122.2,4.9,14,10.73,13.50,1.70,7.7,31.4,100.0,100.0,100.0,100.0,100.0,20.0,0.0,0.84,42.45,14.61,118.6,124.0,0.00,49504.0,11.30,14.55,100.0,0.0,0.0,20.5,27.0,100.0,
18.290,2599,-5286,93.4,122.2,5.0,14,10.70,13.50,1.64,7.1,29.2,100.0,100.0,100.0,100.0,100.0,19.9,0.0,0.85,42.67,14.62,118.6,124.0,0.00,48856.0,11.25,14.55,100.0,0.0,0.0,21.0,25.5,100.0,
18.300,2599,-5286,95.2,122.2,4.8,-22,10.48,13.50,1.64,7.1,29.2,100.0,100.0,100.0,100.0,100.0,19.9,0.0,0.94,42.92,14.56,118.6,124.0,0.00,48224.0,11.22,14.55,100.0,0.0,0.0,21.0,25.5,100.0,
18.312,2501,-4085,95.2,122.2,4.7,-3,10.59,13.50,1.66,6.9,27.2,100.0,100.0,100.0,100.0,100.0,19.3,0.0,0.78,41.57,14.54,118.6,124.0,0.00,49016.0,11.20,14.55,100.0,0.0,0.0,21.0,25.0,100.0,
18.320,2501,-4085,93.4,122.2,5.0,22,10.82,13.50,1.66,6.9,27.2,100.0,100.0,100.0,100.0,100.0,19.3,0.0,1.07,42.32,14.65,118.6,124.0,0.00,50672.0,11.10,14.55,100.0,0.0,0.0,21.0,25.0,100.0,
18.330,2501,-4085,95.2,122.2,4.9,-11,11.19,13.50,1.66,6.9,27.2,100.0,100.0,100.0,100.0,100.0,19.3,0.0,0.92,43.50,14.67,118.6,124.0,0.00,50000.0,11.10,14.55,100.0,0.0,0.0,21.0,25.0,100.0,
18.340,2545,1866,95.2,122.2,4.7,-14,10.87,13.50,1.62,6.9,25.8,100.0,100.0,100.0,100.0,100.0,20.3,0.0,0.80,42.67,14.59,118.6,124.0,0.00,49504.0,11.08,14.55,100.0,0.0,0.0,21.0,25.0,100.0,
18.350,2545,1866,93.4,122.2,4.9,22,10.83,13.50,1.62,6.9,25.8,100.0,100.0,100.0,100.0,100.0,20.3,0.0,0.96,41.95,14.61,118.6,124.0,0.00,48856.0,11.00,14.55,100.0,0.0,0.0,21.0,25.0,100.0,
18.360,2359,-7315,93.4,122.2,4.9,0,10.92,13.40,1.63,6.4,24.2,100.0,100.0,100.0,100.0,100.0,19.2,0.0,0.89,42.40,14.61,118.6,124.0,0.00,48224.0,11.03,14.55,100.0,0.0,0.0,21.5,23.5,100.0,
18.370,2359,-7315,95.2,122.2,4.7,-22,11.05,13.50,1.63,6.4,24.2,100.0,100.0,100.0,100.0,100.0,19.2,0.0,0.88,42.65,14.55,118.6,124.0,0.00,48384.0,11.03,14.55,100.0,0.0,0.0,21.5,23.5,100.0,
18.380,2359,-7315,95.2,122.2,4.9,17,11.46,13.50,1.63,6.4,24.2,100.0,100.0,100.0,100.0,100.0,19.2,0.0,0.80,43.97,14.62,118.6,124.0,0.00,47920.0,11.00,14.55,100.0,0.0,0.0,21.5,23.5,100.0,
18.390,2252,-4017,93.4,122.2,5.0,11,11.28,13.40,1.65,6.2,22.6,100.0,100.0,100.0,100.0,100.0,19.6,0.0,0.93,43.34,14.61,118.6,124.0,0.00,47312.0,10.97,14.42,100.0,0.0,0.0,22.0,22.5,100.0,
18.400,2252,-4017,95.2,122.2,4.7,-28,11.01,13.40,1.65,6.2,22.6,100.0,100.0,100.0,100.0,100.0,19.6,0.0,0.93,43.20,14.48,118.6,124.0,0.00,46728.0,10.97,14.42,100.0,0.0,0.0,22.0,22.5,100.0,
18.410,2252,-4017,95.2,122.2,4.8,9,11.08,13.50,1.65,6.2,22.6,100.0,100.0,100.0,100.0,100.0,19.6,0.0,0.77,42.57,14.48,118.6,124.0,0.00,46296.0,10.97,14.42,100.0,0.0,0.0,22.0,22.5,100.0,
18.420,2153,-3552,93.4,122.2,5.0,16,11.31,13.50,1.63,5.8,21.2,100.0,100.0,100.0,100.0,100.0,19.1,0.0,1.11,42.75,14.57,118.6,124.0,0.00,48072.0,10.91,14.20,100.0,0.0,0.0,22.0,21.5,100.0,
18.430,2153,-3552,95.2,122.2,4.8,-19,11.56,13.50,1.63,5.8,21.2,100.0,100.0,100.0,100.0,100.0,19.1,0.0,1.03,42.77,14.59,118.6,124.0,0.00,48384.0,10.88,14.20,100.0,0.0,0.0,22.0,21.5,100.0,
